Kind;Name;CountInput;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountOutput;CountPath;CountPathLog;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots
File;AlreadySelectedException.java;;26;9;8;;;;15;9;6;;;;;;;0;
File;AmbiguousOptionException.java;;36;11;16;;;;24;11;13;;;;;;;2;
File;ApplicationTest.java;;257;57;229;;;;99;42;57;;;;;;;0;
File;ArgumentIsOptionTest.java;;56;26;28;;;;31;18;13;;;;;;;0;
File;BasicParser.java;;12;7;1;;;;4;3;1;;;;;;;0;
File;BasicParserTest.java;;110;56;2;;;;32;30;2;;;;;;;0;
File;BugCLI133Test.java;;21;16;6;;;;16;14;2;;;;;;;0;
File;BugCLI13Test.java;;34;21;14;;;;21;16;5;;;;;;;0;
File;BugCLI148Test.java;;37;24;11;;;;25;20;5;;;;;;;0;
File;BugCLI162Test.java;;289;81;255;;;;120;71;49;;;;;;;0;
File;BugCLI18Test.java;;21;13;7;;;;16;12;4;;;;;;;0;
File;BugCLI252Test.java;;23;14;6;;;;17;12;5;;;;;;;0;
File;BugCLI265Test.java;;50;33;22;;;;41;29;12;;;;;;;0;
File;BugCLI266Test.java;;92;38;65;;;;56;34;22;;;;;;;1;
File;BugCLI71Test.java;;62;34;29;;;;47;28;19;;;;;;;1;
File;BugsTest.java;;273;120;179;;;;198;102;96;;;;;;;2;
Class Function;Class;;6;;;;1;0;5;1;4;1;1;1;1;;;0;
File;CommandLine.java;;219;56;78;;;;121;59;62;;;;;;;3;
File;CommandLineParser.java;;6;4;0;;;;4;4;0;;;;;;;0;
File;CommandLineTest.java;;115;56;76;;;;91;46;45;;;;;;;0;
File;DefaultParser.java;;432;74;202;;;;233;77;156;;;;;;;4;
File;DefaultParserTest.java;;9;5;2;;;;6;4;2;;;;;;;0;
File;DisablePartialMatchingTest.java;;33;15;18;;;;25;13;12;;;;;;;0;
File;GnuParser.java;;64;11;29;;;;35;10;25;;;;;;;4;
File;GnuParserTest.java;;98;50;2;;;;29;27;2;;;;;;;0;
File;HelpFormatter.java;;462;121;199;;;;256;110;146;;;;;;;3;
File;HelpFormatterTest.java;;474;182;351;;;;302;145;157;;;;;;;1;
Class Function;Interface;;26;;;;1;0;25;4;21;1;1;1;1;;;0;
File;Maven__junit_junit_4_12.xml;;13;;;;0;0;0;0;0;0;0;0;0;;;0;
File;Maven__org_hamcrest_hamcrest_core_1_3.xml;;13;;;;0;0;0;0;0;0;0;0;0;;;0;
File;MissingArgumentException.java;;19;7;5;;;;11;7;4;;;;;;;0;
File;MissingOptionException.java;;37;12;14;;;;23;12;11;;;;;;;2;
File;Option.java;;404;105;145;;;;227;98;129;;;;;;;3;
File;OptionBuilder.java;;148;36;63;;;;92;33;59;;;;;;;1;
File;OptionBuilderTest.java;;146;38;88;;;;78;23;55;;;;;;;1;
File;OptionGroup.java;;86;23;34;;;;49;22;27;;;;;;;2;
File;OptionGroupTest.java;;198;73;120;;;;141;58;83;;;;;;;1;
File;OptionTest.java;;174;51;99;;;;111;37;74;;;;;;;0;
File;OptionValidator.java;;38;6;13;;;;17;7;10;;;;;;;3;
File;Options.java;;143;37;61;;;;90;38;52;;;;;;;2;
File;OptionsTest.java;;140;51;80;;;;97;40;57;;;;;;;1;
Function;PackageSymbol;;41;;;;1;0;40;2;38;1;1;1;1;;;0;
File;ParseException.java;;9;4;2;;;;5;4;1;;;;;;;0;
File;Parser.java;;221;41;96;;;;116;41;75;;;;;;;5;
File;ParserTestCase.java;;855;292;528;;;;558;223;335;;;;;;;1;
File;PatternOptionBuilder.java;;100;27;69;;;;53;26;27;;;;;;;3;
File;PatternOptionBuilderTest.java;;146;65;83;;;;105;54;51;;;;;;;1;
File;PosixParser.java;;141;26;64;;;;77;25;52;;;;;;;4;
File;PosixParserTest.java;;50;26;2;;;;17;15;2;;;;;;;0;
Function;Type;;171;;;;1;0;152;15;137;1;1;1;1;;;0;
File;TypeHandler.java;;139;20;50;;;;62;19;43;;;;;;;2;
File;TypeHandlerTest.java;;126;69;23;;;;52;35;17;;;;;;;0;
File;UnrecognizedOptionException.java;;19;7;5;;;;11;7;4;;;;;;;0;
File;Util.java;;29;5;11;;;;15;5;10;;;;;;;1;
File;UtilTest.java;;24;9;9;;;;16;7;9;;;;;;;0;
File;ValueTest.java;;264;114;150;;;;178;85;93;;;;;;;0;
File;ValuesTest.java;;104;30;60;;;;63;20;43;;;;;;;0;
File;bin.xml;;30;;;;0;0;0;0;0;0;0;0;0;;;0;
File;changes.xml;;265;;;;0;0;0;0;0;0;0;0;0;;;0;
File;checkstyle-suppressions.xml;;10;;;;0;0;0;0;0;0;0;0;0;;;0;
File;checkstyle.xml;;99;;;;0;0;0;0;0;0;0;0;0;;;0;
File;compiler.xml;;16;;;;0;0;0;0;0;0;0;0;0;;;0;
File;diagrams-cli2.js;;228;;;;1;0;228;31;197;1;1;1;1;;;0;
File;diagrams.css;;0;;;;0;0;0;0;0;0;0;0;0;;;0;
File;diagrams.js;;252;;;;1;0;230;28;202;1;1;1;1;;;2;
File;download_cli.xml;;91;;;;0;0;0;0;0;0;0;0;0;;;0;
File;encodings.xml;;6;;;;0;0;0;0;0;0;0;0;0;;;0;
File;findbugs-exclude-filter.xml;;9;;;;0;0;0;0;0;0;0;0;0;;;0;
File;index.xml;;89;;;;0;0;0;0;0;0;0;0;0;;;0;
File;introduction.xml;;81;;;;0;0;0;0;0;0;0;0;0;;;0;
File;issue-tracking.xml;;54;;;;0;0;0;0;0;0;0;0;0;;;0;
File;mail-lists.xml;;147;;;;0;0;0;0;0;0;0;0;0;;;0;
File;misc.xml;;11;;;;0;0;0;0;0;0;0;0;0;;;0;
File;modules.xml;;8;;;;0;0;0;0;0;0;0;0;0;;;0;
Package;org;;0;0;0;;;;0;0;0;;;;;;;0;
Package;org.apache;;0;0;0;;;;0;0;0;;;;;;;0;
Package;org.apache.commons;;0;0;0;;;;0;0;0;;;;;;;0;
Package;org.apache.commons.cli;;6170;1915;3115;;;;3572;1550;2022;;;;;;;5;
Public Class;org.apache.commons.cli.AlreadySelectedException;;25;8;8;;;;14;8;6;;;;;;;0;
Public Constructor;org.apache.commons.cli.AlreadySelectedException.AlreadySelectedException(OptionGroup,Option);3;7;1;4;6;1;0;4;1;3;1;1;1;1;0;0;0;0
Public Constructor;org.apache.commons.cli.AlreadySelectedException.AlreadySelectedException(String);2;4;1;1;2;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.AlreadySelectedException.getOption();3;4;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Method;org.apache.commons.cli.AlreadySelectedException.getOptionGroup();3;4;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Class;org.apache.commons.cli.AmbiguousOptionException;;33;8;16;;;;21;8;13;;;;;;;2;
Public Constructor;org.apache.commons.cli.AmbiguousOptionException.AmbiguousOptionException(String,Collection<String>);5;5;1;2;4;1;0;3;1;2;1;1;1;1;0;0;0;0
Private Static Method;org.apache.commons.cli.AmbiguousOptionException.createMessage(String,Collection<String>);3;19;3;12;6;3;0;13;3;10;3;3;3;1;0;0;2;0
Public Method;org.apache.commons.cli.AmbiguousOptionException.getMatchingOptions();5;4;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0
Public Class;org.apache.commons.cli.ApplicationTest;;250;50;229;;;;93;36;57;;;;;;;0;
Public Method;org.apache.commons.cli.ApplicationTest.testAnt();0;30;7;28;12;1;0;24;6;18;1;1;1;1;0;0;0;0
